Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ActiveFragment.java",1,1,1,1,6,0,4,2,,,,,1,0,0,3,,3,3,0,3,,0,1,0,2,,44,7,27,17,8,10,,,,17,21,15,6,,,,,,1,1,1,1,,,0,,,,0,37,3,3,3,3
File,"BaseActivity.java",1,1,1,1,7,0,5,2,,,,,2,0,0,16,,16,16,2,16,,0,0,7,9,,161,29,101,43,42,33,,,,55,75,42,33,,,,,,3,3,3,1,,,2,,,,0,33,19,19,19,16
File,"BaseFragment.java",1,1,1,1,8,0,5,3,,,,,1,0,0,7,,8,8,3,8,,0,0,1,7,,105,14,59,32,22,32,,,,35,45,28,17,,,,,,2,2,2,1,,,1,,,,0,54,9,9,9,7
File,"BuildProperties.java",1,1,1,1,3,0,3,0,,,,,1,1,0,12,,12,11,1,12,,0,1,0,11,,70,17,50,24,13,3,,,,24,37,24,13,,,,,,1,1,1,1,,,0,,,,0,06,12,12,12,12
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"HomeFragment.java",1,1,1,1,6,0,6,2,,,,,1,0,0,3,,3,3,0,3,,0,1,0,2,,43,7,32,17,12,11,,,,18,22,15,7,,,,,,1,1,1,1,,,0,,,,0,34,3,3,3,3
File,"LoginActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,0,3,,0,0,2,1,,38,8,26,14,8,4,,,,16,20,12,8,,,,,,1,1,1,1,,,0,,,,0,15,3,3,3,3
File,"MainActivity.java",1,1,1,1,12,0,10,1,,,,,2,0,0,9,,9,9,9,9,,0,5,1,3,,154,16,119,43,69,19,,,,80,94,42,52,,,,,,5,2,5,1,,,1,,,,0,16,16,13,16,9
File,"MineFragment.java",1,1,1,1,2,0,2,0,,,,,1,0,0,3,,3,2,0,2,,0,0,0,2,,30,6,20,14,3,4,,,,12,15,12,3,,,,,,1,1,1,1,,,0,,,,0,20,3,3,3,3
File,"MinePicFragment.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,4,10,7,1,3,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,30,1,1,1,1
File,"PhotoFragment.java",1,1,1,1,6,0,4,2,,,,,1,0,0,3,,3,3,0,3,,0,1,0,2,,44,7,27,17,8,10,,,,17,21,15,6,,,,,,1,1,1,1,,,0,,,,0,37,3,3,3,3
File,"TabEntity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,4,4,,0,0,0,4,,35,7,25,14,6,3,,,,12,17,11,6,,,,,,1,1,1,1,,,0,,,,0,12,4,4,4,4
File,"UserInfoActivity.java",2,2,2,1,15,0,14,1,,,,,4,0,0,10,,8,9,9,9,,0,4,1,4,,144,15,119,37,72,13,,,,68,87,35,52,,,,,,9,9,10,1,,,5,,,,0,11,20,20,21,10
File,"Utils.java",3,3,3,1,17,0,13,3,,,,,1,10,8,10,,10,0,0,10,,0,2,0,8,,220,21,158,63,101,43,,,,86,116,62,54,,,,,,5,5,6,1,,,3,,,,0,27,30,30,33,10
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.smilexie",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.smilexie.statusbartextcolorchange",1,1,1,1,12,0,10,1,,,,,9,0,0,,5,,23,18,23,,0,9,4,10,,379,47,288,112,152,47,,,,177,218,104,114,,,,,,9,9,10,1,,,5,,,,0,16,41,38,42,24
Public Class,"com.smilexie.statusbartextcolorchange.ExampleInstrumentedTest",1,1,1,1,6,1,4,1,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,14,1,7,4,2,6,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,0,0,0,86,1,1,1,1
Public Method,"com.smilexie.statusbartextcolorchange.ExampleInstrumentedTest.useAppContext",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,1,4,2,2,1,3,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Class,"com.smilexie.statusbartextcolorchange.ExampleUnitTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,5,3,1,5,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,1,00,1,1,1,1
Public Method,"com.smilexie.statusbartextcolorchange.ExampleUnitTest.addition_isCorrect",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
