Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AppDetailFragment.java",2,2,2,1,21,3,18,0,,,,,6,0,2,9,,12,12,20,12,,0,3,0,9,,219,41,177,63,110,3,,,,109,132,59,73,,,,,,7,7,9,1,,,3,,,,0,02,20,20,22,9
File,"BuildConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,6,1,4,3,1,1,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,25,0,0,0,0
File,"CustomArrayAdapter.java",1,1,1,1,11,1,8,1,,,,,2,0,0,3,,3,3,2,3,,0,0,0,3,,56,10,40,17,15,6,,,,21,28,15,13,,,,,,3,3,3,1,,,1,,,,0,15,5,5,5,3
File,"CustomData.java",1,1,1,1,5,0,3,2,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,26,4,15,7,4,7,,,,7,11,7,4,,,,,,1,1,1,1,,,0,,,,0,47,3,3,3,3
File,"DetailFragment1.java",1,1,1,1,8,0,8,0,,,,,1,0,0,7,,7,7,5,7,,0,2,0,5,,101,16,82,41,42,3,,,,49,61,37,24,,,,,,3,3,3,1,,,2,,,,0,04,11,11,11,7
File,"DetailFragment2.java",2,2,2,1,10,1,9,0,,,,,2,0,5,12,,12,12,4,12,,0,1,0,11,,177,30,143,33,96,4,,,,75,99,41,58,,,,,,12,8,12,5,,,2,,,,0,03,29,25,29,16
File,"HorizontalListView.java",2,2,2,1,14,1,8,3,,,,,10,2,9,74,,74,74,38,76,,1,35,9,31,,1409,237,791,244,466,382,,,,408,581,215,366,,,,,,14,12,16,12,,,5,,,,0,48,175,172,199,101
File,"MainActivity.java",2,2,2,1,11,1,10,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,22,5,17,7,7,0,,,,8,11,6,5,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"PagerSlidingTabStrip.java",1,1,1,1,8,1,6,0,,,,,7,0,2,61,,62,62,34,62,,0,6,1,55,,667,151,490,158,295,26,,,,258,342,151,191,,,,,,4,4,6,1,,,3,,,,0,05,81,81,84,61
File,"PixValue.java",1,1,1,1,1,0,1,0,,,,,2,0,1,3,,2,4,1,4,,0,0,0,4,,21,5,16,10,2,0,,,,7,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"R.java",0,0,0,0,0,0,0,0,,,,,12,0,183,0,,0,0,0,0,,0,0,0,0,,909,56,221,209,188,632,,,,185,196,196,0,,,,,,0,0,0,0,,,0,,,,2,86,0,0,0,0
