Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AccountKeystoreService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,8,8,0,8,,8,0,0,0,,74,10,24,23,0,40,,,,13,14,14,0,,,,,,0,0,0,0,,,0,,,,1,67,0,0,0,0
File,"AccountsManageModule.java",1,1,1,1,5,0,5,0,,,,,1,0,0,9,,9,9,0,9,,9,0,0,0,,83,12,71,45,16,0,,,,23,33,24,9,,,,,,1,1,1,1,,,0,,,,0,00,9,9,9,9
File,"ActivityScope.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,12,4,8,7,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AddTokenActivity.java",2,2,2,1,17,2,14,0,,,,,1,0,0,5,,5,5,10,5,,0,3,1,1,,130,24,106,42,55,0,,,,68,82,39,43,,,,,,7,7,7,1,,,1,,,,0,00,13,13,13,5
File,"AddTokenInteract.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,2,2,2,,0,0,0,2,,26,5,21,11,7,0,,,,10,13,10,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"AddTokenModule.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,4,0,0,0,,41,7,34,24,5,0,,,,13,18,14,4,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"AddTokenRouter.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,4,10,7,2,0,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"AddTokenViewModel.java",1,1,1,1,4,0,4,0,,,,,1,0,0,6,,6,5,4,5,,1,1,0,3,,49,11,38,20,13,0,,,,19,25,17,8,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"AddTokenViewModelFactory.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,31,6,25,18,4,0,,,,14,17,13,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"AddWalletView.java",1,1,1,1,8,0,6,0,,,,,5,0,1,11,,13,13,5,13,,2,1,0,10,,160,27,127,52,64,10,,,,57,80,41,39,,,,,,5,4,5,1,,,2,,,,0,08,19,18,19,11
File,"Address.java",1,1,2,1,3,0,3,0,,,,,1,1,3,2,,2,1,1,2,,0,0,0,2,,23,7,16,10,6,0,,,,9,12,10,2,,,,,,1,1,4,1,,,0,,,,0,00,2,2,5,2
File,"ApiErrorException.java",1,1,1,1,5,1,4,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,11,3,8,4,2,0,,,,4,6,4,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"App.java",1,1,1,1,6,0,6,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,36,9,27,16,8,0,,,,14,17,13,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"AppComponent.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,3,3,0,3,,3,0,0,0,,26,5,21,19,0,0,,,,9,11,11,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BackupView.java",1,1,1,1,4,0,3,0,,,,,1,0,0,5,,5,5,1,5,,0,1,1,3,,39,9,30,15,9,0,,,,16,22,14,8,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"BackupWarningView.java",1,1,1,1,4,0,4,0,,,,,1,0,0,8,,8,8,2,8,,0,1,0,7,,66,14,52,25,16,0,,,,28,39,24,15,,,,,,3,3,3,1,,,2,,,,0,00,10,10,10,8
File,"BalanceUtils.java",1,1,1,1,6,0,4,1,,,,,1,9,1,9,,9,0,0,9,,0,0,0,9,,75,12,50,23,24,13,,,,27,38,23,15,,,,,,2,2,2,1,,,1,,,,0,26,10,10,10,9
File,"BarcodeCaptureActivity.java",2,2,2,1,20,1,12,5,,,,,2,0,4,10,,10,10,2,10,,0,3,3,4,,284,36,167,78,90,81,,,,90,114,64,50,,,,,,6,6,6,3,,,2,,,,0,49,26,26,27,12
File,"BarcodeTracker.java",1,1,1,1,4,0,4,0,,,,,2,0,0,2,,3,3,1,3,,2,0,0,1,,40,6,19,11,3,15,,,,8,13,10,3,,,,,,2,2,2,1,,,1,,,,0,79,3,3,3,2
File,"BarcodeTrackerFactory.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,1,0,0,1,,39,5,15,10,2,19,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,1,27,2,2,2,2
File,"BaseActivity.java",2,2,2,1,6,0,6,0,,,,,1,0,0,8,,8,8,0,8,,0,0,7,1,,74,12,62,23,29,0,,,,26,43,22,21,,,,,,2,2,2,1,,,1,,,,0,00,16,16,16,8
File,"BaseNavigationActivity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,2,1,,29,7,22,13,5,0,,,,13,17,12,5,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"BaseViewModel.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,3,5,,0,0,3,2,,48,10,37,19,12,1,,,,19,27,18,9,,,,,,2,2,3,1,,,1,,,,0,03,7,7,8,5
File,"BinderViewHolder.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,7,7,0,7,,0,0,3,4,,40,9,31,17,7,0,,,,16,23,17,6,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"BlockExplorerClient.java",1,1,1,1,6,0,5,0,,,,,5,1,0,11,,12,10,6,11,,1,3,0,7,,108,18,90,44,33,1,,,,41,55,40,15,,,,,,1,1,1,1,,,0,,,,0,01,11,11,11,11
File,"BlockExplorerClientType.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,3,6,5,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BuildersModule.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,12,12,0,12,,12,0,0,0,,66,13,53,52,0,0,,,,27,28,28,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"C.java",0,0,0,0,0,0,0,0,,,,,3,0,36,0,,0,0,5,0,,0,0,0,0,,60,12,48,45,41,0,,,,42,45,45,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"CameraSource.java",2,2,2,1,19,1,11,6,,,,,15,3,5,43,,47,44,31,47,,8,8,0,31,,1212,134,643,220,351,437,,,,304,446,184,262,,,,,,9,9,9,5,,,3,,,,0,68,110,107,118,58
File,"CameraSourcePreview.java",2,2,2,1,12,1,10,0,,,,,2,0,1,10,,10,10,5,10,,0,2,1,7,,182,25,135,49,72,22,,,,72,98,44,54,,,,,,8,8,8,3,,,2,,,,0,16,26,26,27,12
File,"CoinmarketcapTickerService.java",1,1,1,1,5,0,5,0,,,,,4,1,1,10,,11,9,4,10,,1,2,0,7,,95,17,78,37,30,1,,,,34,46,34,12,,,,,,1,1,1,1,,,0,,,,0,01,10,10,10,10
File,"CompletableErrorProxyOperator.java",1,1,1,1,7,0,7,0,,,,,2,0,0,4,,4,4,1,4,,1,0,0,3,,33,6,27,9,11,0,,,,9,16,10,6,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,4
File,"ConfirmationActivity.java",1,1,1,1,10,0,9,0,,,,,1,0,0,16,,16,12,14,12,,0,7,3,2,,217,35,181,74,102,1,,,,105,124,66,58,,,,,,3,3,3,1,,,2,,,,0,01,23,23,24,16
File,"ConfirmationModule.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,0,5,,4,0,0,1,,48,8,40,29,5,0,,,,17,23,18,5,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"ConfirmationRouter.java",1,1,1,1,10,0,10,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,23,5,18,9,8,0,,,,14,16,9,7,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ConfirmationViewModel.java",1,1,1,1,4,0,4,0,,,,,1,0,0,11,,11,11,8,11,,0,3,0,8,,94,18,76,39,31,0,,,,43,56,36,20,,,,,,2,2,2,1,,,1,,,,0,00,12,12,12,11
File,"ConfirmationViewModelFactory.java",1,1,1,1,6,0,6,0,,,,,1,0,0,2,,2,2,4,2,,0,0,0,2,,34,6,28,20,5,0,,,,17,20,15,5,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
