Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractDBConnection.java",1,1,1,1,4,0,4,0,,,,,2,0,0,64,,64,64,13,64,,0,0,1,63,,480,104,366,156,138,10,,,,144,223,101,122,,,,,,9,9,11,6,,,2,,,,0,03,78,78,80,69
File,"AbstractRedisConnection.java",1,1,1,1,3,0,3,0,,,,,2,0,0,215,,215,215,11,215,,0,0,0,215,,1168,239,923,461,246,6,,,,266,486,250,236,,,,,,2,2,2,1,,,1,,,,0,01,219,219,219,215
File,"AbstractResourceProxy.java",3,3,3,2,11,1,9,0,,,,,2,0,0,8,,10,10,6,10,,0,1,4,5,,150,41,101,33,56,8,,,,52,77,33,44,,,,,,7,7,7,6,,,4,,,,0,08,24,24,24,19
File,"ApplicationStartListener.java",1,1,1,1,7,0,7,0,,,,,1,0,0,2,,2,2,0,2,,0,1,0,1,,36,8,25,15,9,3,,,,14,18,13,5,,,,,,2,2,2,1,,,1,,,,0,12,3,3,3,2
File,"AspectBeforeService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,11,3,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"AspectBeforeServiceImpl.java",2,2,2,1,28,10,18,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,57,16,38,32,15,3,,,,30,33,30,3,,,,,,2,2,2,1,,,1,,,,0,08,2,2,2,1
File,"BlockingQueueService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,24,10,9,8,0,5,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,56,0,0,0,0
File,"BlockingQueueServiceImpl.java",1,1,1,1,7,0,7,0,,,,,4,0,0,8,,8,8,2,8,,0,0,0,8,,97,17,60,24,26,20,,,,26,37,22,15,,,,,,3,3,3,1,,,2,,,,0,33,10,10,10,8
File,"ChannelSender.java",1,1,1,1,7,0,7,0,,,,,3,0,0,7,,7,7,3,7,,0,0,0,7,,72,14,55,18,26,4,,,,23,36,20,16,,,,,,5,5,5,1,,,1,,,,0,07,12,12,12,7
File,"CompensateDataSource.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,21,6,15,10,2,0,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"CompensateService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,1,5,,5,0,0,0,,25,10,10,9,1,5,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"CompensateServiceImpl.java",2,2,2,1,15,1,13,0,,,,,3,0,1,11,,11,11,8,11,,0,3,0,8,,201,38,148,68,73,16,,,,75,107,62,45,,,,,,7,7,7,1,,,4,,,,0,11,28,28,30,11
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,4,0,,0,0,0,0,,0,0,0,0,,29,9,8,7,2,12,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,1,50,0,0,0,0
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,3,0,,0,0,0,0,,0,0,0,0,,15,6,6,5,0,3,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"DataSourceService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,21,8,10,9,0,3,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,30,0,0,0,0
File,"DataSourceServiceImpl.java",2,2,2,1,10,1,8,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,76,16,54,25,21,6,,,,27,38,19,19,,,,,,4,4,6,4,,,2,,,,0,11,9,9,11,7
File,"DiscoveryService.java",3,3,3,1,7,0,7,0,,,,,1,0,2,1,,1,1,1,1,,0,0,0,1,,43,8,24,18,6,11,,,,16,19,16,3,,,,,,3,3,3,1,,,1,,,,0,46,3,3,3,1
File,"HessianSerializer.java",2,2,2,1,11,0,11,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,51,8,34,16,15,9,,,,20,25,14,11,,,,,,2,2,2,1,,,1,,,,0,26,4,4,4,2
File,"HookRunnable.java",3,3,3,1,20,1,19,0,,,,,2,0,0,2,,3,3,1,3,,0,0,0,3,,49,9,37,10,20,3,,,,15,23,9,14,,,,,,3,3,3,1,,,2,,,,0,08,6,6,6,2
File,"IBaseProxy.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,13,4,6,5,0,3,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"ICallClose.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,10,3,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"IResource.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,9,9,0,9,,9,0,0,0,,30,12,15,14,0,3,,,,13,14,14,0,,,,,,0,0,0,0,,,0,,,,0,20,0,0,0,0
File,"ISerializer.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,37,7,6,5,0,24,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,4,00,0,0,0,0
File,"IndexController.java",1,1,1,1,9,0,9,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,56,11,41,30,13,4,,,,27,32,25,7,,,,,,2,2,2,1,,,1,,,,0,10,3,3,3,2
File,"InitService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,12,4,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"InitService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,2,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"InitServiceImpl.java",1,1,1,1,6,1,4,0,,,,,1,0,0,2,,2,2,4,2,,0,0,0,2,,44,10,30,22,5,4,,,,17,20,15,5,,,,,,1,1,1,1,,,0,,,,0,13,2,2,2,2
File,"InitServiceImpl.java",1,1,1,1,17,5,8,4,,,,,1,0,1,1,,1,1,5,1,,0,0,0,1,,55,14,34,26,7,7,,,,23,25,19,6,,,,,,1,1,1,1,,,0,,,,0,21,1,1,1,1
File,"JavaSerializer.java",2,2,2,1,11,0,11,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,50,6,35,18,15,9,,,,21,26,16,10,,,,,,2,2,2,1,,,1,,,,0,26,4,4,4,2
File,"JdbcTransactionRecoverRepository.java",3,3,3,1,14,0,14,0,,,,,1,0,0,13,,13,13,5,13,,0,4,0,9,,249,27,212,72,130,10,,,,115,159,67,92,,,,,,10,10,10,1,,,3,,,,0,05,41,41,43,13
File,"JedisClusterConfig.java",1,1,1,1,12,0,5,6,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,90,12,49,34,14,29,,,,30,37,28,9,,,,,,2,2,2,1,,,1,,,,0,59,5,5,5,4
File,"JobService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,2,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"JobServiceImpl.java",2,2,2,1,16,3,13,0,,,,,2,0,0,2,,2,2,1,2,,0,0,0,2,,38,8,27,12,11,3,,,,11,16,10,6,,,,,,3,3,3,1,,,2,,,,0,11,4,4,4,2
File,"KryoSerializer.java",3,3,3,1,21,1,19,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,77,10,51,21,29,16,,,,29,36,19,17,,,,,,3,3,3,1,,,1,,,,0,31,6,6,6,2
File,"LCNDBConnection.java",2,2,2,1,15,2,12,0,,,,,2,0,0,3,,3,3,0,3,,0,0,0,3,,66,18,44,14,25,4,,,,26,33,14,19,,,,,,4,4,4,1,,,1,,,,0,09,6,6,6,3
File,"LCNDataSourceProxy.java",1,1,1,1,5,0,4,0,,,,,1,0,0,12,,12,12,2,12,,0,0,2,10,,119,28,85,41,32,6,,,,38,55,30,25,,,,,,3,3,3,1,,,2,,,,0,07,16,16,16,12
File,"LCNJedisFactoryProxy.java",1,1,1,1,5,0,5,0,,,,,1,0,0,8,,8,8,2,8,,0,0,2,6,,87,18,65,32,25,4,,,,33,45,25,20,,,,,,3,3,3,1,,,2,,,,0,06,11,11,11,8
File,"LCNRedisConnection.java",2,2,2,1,14,2,11,0,,,,,2,0,0,3,,3,3,0,3,,0,0,0,3,,59,14,41,13,23,4,,,,24,31,13,18,,,,,,4,4,4,1,,,1,,,,0,10,6,6,6,3
File,"MQTxManagerService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,35,15,9,8,0,11,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,1,22,0,0,0,0
File,"MQTxManagerService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,53,16,10,9,0,27,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,2,70,0,0,0,0
File,"MQTxManagerServiceImpl.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,45,11,31,20,5,3,,,,12,18,13,5,,,,,,1,1,1,1,,,0,,,,0,10,5,5,5,5
File,"MQTxManagerServiceImpl.java",2,2,2,1,8,0,8,0,,,,,1,0,0,7,,7,7,3,7,,0,0,0,7,,108,19,86,47,43,3,,,,52,64,39,25,,,,,,4,4,4,3,,,1,,,,0,03,14,14,14,9
File,"MethodUtils.java",2,2,2,1,11,0,11,0,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,29,7,19,10,9,3,,,,12,15,10,5,,,,,,2,2,2,1,,,1,,,,0,16,2,2,2,1
File,"ModelNameService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,11,3,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"ModelNameServiceImpl.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,3,3,,0,1,0,2,,51,10,38,24,10,3,,,,19,25,18,7,,,,,,3,3,3,1,,,2,,,,0,08,5,5,5,3
File,"ModelNameServiceImpl.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,3,3,,0,1,0,2,,51,12,36,22,9,3,,,,18,24,17,7,,,,,,3,3,3,1,,,2,,,,0,08,5,5,5,3
File,"NettyDistributeService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,8,1,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"NettyDistributeServiceImpl.java",4,4,4,1,19,1,17,1,,,,,1,0,0,2,,2,2,2,2,,0,1,0,1,,64,9,50,20,26,5,,,,29,38,18,20,,,,,,6,6,6,1,,,3,,,,0,10,9,9,9,2
File,"NettyServerService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,13,5,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"NettyServerServiceImpl.java",2,2,2,1,16,2,13,1,,,,,2,0,0,3,,3,3,6,3,,0,0,0,3,,96,21,70,39,27,6,,,,44,51,35,16,,,,,,3,3,3,1,,,1,,,,0,09,6,6,6,3
File,"NettyService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,0,7,,7,0,0,0,,23,9,11,10,0,3,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,0,27,0,0,0,0
File,"NettyServiceImpl.java",1,1,1,1,12,1,10,1,,,,,4,0,1,10,,10,10,5,10,,0,0,0,10,,160,28,120,50,60,17,,,,66,84,43,41,,,,,,4,4,4,3,,,2,,,,0,14,17,17,17,12
File,"ProtostuffSerializer.java",1,1,1,1,10,0,10,0,,,,,1,1,2,3,,3,2,0,3,,0,1,0,2,,80,11,45,25,23,24,,,,28,34,23,11,,,,,,2,2,2,1,,,1,,,,0,53,5,5,5,3
File,"QueueMsg.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,41,10,24,11,6,7,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,0,29,6,6,6,6
