Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ActivityConnector.java",2,2,2,1,7,0,7,0,,,,,1,0,0,3,,3,3,2,3,,0,0,1,2,,38,6,32,13,15,0,,,,16,24,12,12,,,,,,3,3,3,3,,,1,,,,0,00,7,7,7,5
File,"ActivityHierarchyServer.java",1,1,1,1,3,0,3,0,,,,,4,0,0,23,,23,23,2,23,,0,0,0,23,,144,33,105,42,32,6,,,,17,57,41,16,,,,,,2,2,2,1,,,1,,,,0,06,30,30,30,23
File,"ActivityRule.java",1,1,1,1,7,0,6,0,,,,,2,0,0,8,,8,8,3,8,,0,2,1,5,,122,15,58,27,26,51,,,,35,46,27,19,,,,,,2,2,2,1,,,1,,,,0,88,11,11,11,8
File,"ActivityScreen.java",1,1,1,1,4,0,4,0,,,,,1,1,1,5,,7,6,1,7,,0,0,5,2,,55,12,43,27,13,0,,,,26,33,24,9,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,5
File,"ActivityScreenSwitcher.java",2,2,2,1,9,0,9,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,37,6,31,17,12,0,,,,16,22,15,7,,,,,,3,3,3,1,,,1,,,,0,00,5,5,5,2
File,"ActivityScreenSwitcherServer.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,11,3,8,7,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AndroidSubscriptions.java",1,1,1,1,8,0,7,1,,,,,1,1,0,4,,4,1,0,2,,0,1,0,1,,35,6,25,11,11,4,,,,14,18,11,7,,,,,,2,2,2,1,,,1,,,,0,16,5,5,5,4
File,"AnimationSpeed.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,11,4,7,6,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AnimationSpeedAdapter.java",1,1,1,1,4,0,4,0,,,,,1,1,1,8,,8,7,0,8,,1,0,0,7,,65,12,53,27,16,1,,,,22,34,20,14,,,,,,3,3,3,3,,,2,,,,0,02,11,11,11,10
File,"ApiEndpoint.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,12,4,8,7,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
