Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractFilterInterceptor.java",2,2,2,1,13,0,6,7,,,,,1,0,0,1,,2,2,0,2,,0,0,1,1,,51,5,12,6,3,34,,,,5,8,5,3,,,,,,2,2,2,1,,,1,,,,2,83,2,2,2,1
File,"AndroidPrinter.java",2,2,2,1,13,0,7,5,,,,,1,1,1,5,,5,4,1,5,,2,0,0,3,,106,11,45,14,23,50,,,,20,32,13,19,,,,,,5,5,5,5,,,2,,,,1,11,11,11,11,9
File,"AndroidPrinterTest.java",1,1,1,1,10,0,9,0,,,,,2,0,0,5,,5,5,1,5,,1,0,0,4,,92,13,64,33,34,15,,,,46,55,33,22,,,,,,3,3,3,1,,,1,,,,0,23,8,8,8,5
File,"AssertUtil.java",2,2,3,1,8,0,8,0,,,,,1,4,0,4,,4,0,0,4,,0,0,0,4,,61,8,38,12,20,15,,,,14,26,14,12,,,,,,3,3,5,1,,,2,,,,0,39,9,9,13,4
File,"BackupStrategy.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,33,4,5,4,0,24,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,4,80,0,0,0,0
File,"BlacklistTagsFilterInterceptor.java",2,2,2,2,12,0,6,5,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,71,8,26,9,9,37,,,,9,18,9,9,,,,,,4,4,4,4,,,3,,,,1,42,7,7,7,6
File,"BlacklistTagsFilterInterceptorTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,1,4,,0,2,0,2,,60,11,34,17,14,15,,,,22,27,15,12,,,,,,1,1,1,1,,,0,,,,0,44,4,4,4,4
File,"BorderFormatter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,36,3,4,3,0,29,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,7,25,0,0,0,0
File,"BundleFormatter.java",1,1,1,1,9,0,3,6,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,40,5,9,6,1,26,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,2,89,1,1,1,1
File,"ChangelessFileNameGenerator.java",1,1,1,1,4,0,3,1,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,44,6,15,8,3,23,,,,5,9,6,3,,,,,,1,1,1,1,,,0,,,,1,53,3,3,3,3
File,"ClassicFlattener.java",1,1,1,1,3,0,3,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,36,5,8,5,2,23,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,2,88,1,1,1,1
File,"CleanStrategy.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,17,3,5,4,0,9,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,1,80,0,0,0,0
File,"ConcurrentTest.java",1,1,1,1,13,1,11,0,,,,,7,0,0,10,,10,10,4,10,,1,1,0,8,,160,29,111,41,67,20,,,,72,91,47,44,,,,,,3,3,6,1,,,1,,,,0,18,16,16,19,10
File,"ConsolePrinter.java",1,1,1,1,6,0,3,2,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,55,7,17,10,4,31,,,,8,12,9,3,,,,,,1,1,1,1,,,0,,,,1,82,3,3,3,3
File,"ContainerPrinter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,4,,0,1,1,2,,45,9,21,12,6,15,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,0,71,4,4,4,4
File,"DateFileNameGenerator.java",1,1,1,1,4,0,3,1,,,,,2,0,0,3,,3,3,1,3,,0,0,1,2,,51,7,23,13,8,21,,,,11,15,11,4,,,,,,1,1,1,1,,,0,,,,0,91,3,3,3,3
