framework,repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects
Android,fighter-lee/EasyMqtt,17,341,302,3,9,6,0,2019-06-03T05:08:49Z,0
Android,liuling07/SimpleNews,460,27833,1460,69,22,37,7,2019-06-23T09:26:56Z,0
Android,k0shk0sh/FastAccess,81,12240,299,15,12,88,2,2019-05-26T09:32:39Z,0
Android,gitskarios/GithubAndroidSdk,169,3668,278,80,28,465,24,2019-06-19T13:06:17Z,0
Android,SkyTreasure/Airbnb-Android-Google-Map-View,69,23077,151,17,6,19,0,2019-06-06T16:22:54Z,0
Android,lizhangqu/Camera,143,87,333,19,8,10,0,2019-06-21T10:00:49Z,0
Android,YuanClouds/WaveView,28,1117,150,5,6,63,1,2019-06-20T10:02:26Z,0
Android,Yuphee/RewardLayout,18,15689,168,5,3,155,1,2019-06-25T06:06:54Z,0
Android,OCNYang/RecyclerViewEvent,35,155,226,6,4,13,1,2019-06-20T06:44:11Z,0
Android,kryptco/krypton-android,27,15612,149,16,102,544,12,2019-05-09T08:34:25Z,0
Android,redbear/Duo,95,48071,198,43,36,352,12,2019-06-15T09:19:20Z,0
Android,firefly1126/android_permission_aspectjx,49,489,258,11,4,6,1,2019-06-24T11:47:08Z,0
Android,gotev/android-speech,88,327,211,18,28,74,5,2019-06-23T15:47:43Z,0
Android,kiwi-bop/flutter_crashlytics,40,247,150,8,64,76,23,2019-06-18T21:29:06Z,0
Android,maksim88/PasswordEditText,74,6965,421,12,20,33,0,2019-06-21T07:58:13Z,0
Android,Cleveroad/WaveInApp,300,6918,1529,68,45,90,16,2019-06-19T06:52:50Z,0
Android,soundcloud/lightcycle,50,456,708,96,48,158,53,2019-04-28T01:42:17Z,0
Android,Piasy/BigImageViewer,344,55807,3188,65,137,99,24,2019-06-25T12:46:19Z,1
Android,gorbin/ASNE,264,4428,893,92,104,149,29,2019-06-09T12:13:23Z,0
Android,qyxxjd/CommonAdapter,53,920,216,9,12,43,0,2019-05-30T10:06:38Z,0
Android,tosslife/FlyTxtView,56,803,180,8,1,9,0,2019-06-05T12:43:47Z,0
Android,ren93/RecyclerBanner,230,12800,1260,19,36,36,1,2019-06-26T02:24:33Z,0
Android,baoyachi/StepView,771,16297,3726,107,58,106,4,2019-06-25T13:19:29Z,0
Android,tsy12321/BaseAndroidProject,69,186,219,16,5,29,0,2019-06-23T17:09:15Z,0
Android,zhlucky/SaleProgressView,54,666,344,4,2,11,0,2019-06-06T06:56:33Z,0
Android,tito/2048,204,2362,432,48,8,18,3,2019-06-24T05:18:15Z,0
Android,davebren/ResourceNestingExample,34,235,232,10,9,11,1,2019-06-09T20:24:12Z,0
Android,NikoYuwono/ToolbarPanel,58,102,400,12,4,18,1,2019-06-17T09:27:35Z,0
Android,manmal/hn-android,164,5020,473,45,113,306,74,2019-05-13T08:44:41Z,0
Android,wirecube/android_additive_animations,70,45001,914,29,12,111,1,2019-06-23T16:02:21Z,0
Android,jshvarts/OfflineSampleApp,124,881,585,26,5,63,8,2019-06-24T21:52:28Z,0
