framework,project,java,properties,jar,build.gradle,pom.xml,manifest.xml,xml,bat,md,adoc,README,yaml,txt,sh,travis.yml,yml,cmd,kt,json,others,numberOfFiles
Android,ChengangFeng/TickView,11,2,1,3,0,2,15,1,1,0,1,0,0,0,0,0,0,0,0,14,48
Android,DingMouRen/LayoutManagerGroup,28,2,1,3,0,2,43,1,2,0,1,0,0,0,0,0,0,0,0,99,179
Android,ikew0ng/SwitchButton,6,1,0,0,0,1,8,0,1,0,1,0,0,0,0,0,0,0,0,42,58
Android,facebook/shimmer-android,3,3,1,3,0,2,8,1,1,0,1,0,0,0,0,0,0,1,0,7,28
Android,aryarohit07/PicassoFaceDetectionTransformation,3,2,1,2,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,10,23
Android,Jasonette/JASONETTE-Android,50,3,2,2,0,2,15,2,2,0,1,0,0,0,0,1,0,0,2,16,95
Android,DingMouRen/FallingView,7,2,1,3,0,2,19,1,1,0,1,0,0,0,0,0,0,0,0,24,58
Android,naman14/MaterialPowerMenu,12,2,2,2,0,1,20,1,1,0,1,0,0,0,0,0,0,0,0,6,46
Android,vilic/cordova-plugin-tts,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,4,8
Android,finnfu/stepcount,9,2,1,2,0,1,14,1,0,0,0,0,1,0,0,0,0,0,0,13,43
Android,mattermost/mattermost-android-classic,23,2,1,2,0,1,9,1,5,0,1,0,0,0,0,0,0,0,0,10,53
Android,AviranAbady/CookieBar2,10,2,1,3,0,2,20,1,1,0,1,0,0,0,0,0,0,0,0,24,62
Android,alexstyl/Material-SearchTransition,12,2,1,2,0,1,17,1,1,0,1,0,0,0,0,0,0,0,0,27,63
Android,kickstarter/android-oss,490,3,1,2,0,2,360,1,2,0,2,0,4,0,0,2,0,152,6,106,1129
Android,macroday/AppCrashTracker,5,2,1,0,0,2,11,0,1,0,1,0,2,0,0,0,0,0,0,11,33
Android,THEONE10211024/ColorPhrase,4,1,2,0,0,2,11,0,1,0,1,0,1,0,0,0,0,0,0,33,53
Android,p-v/FlexibleCalendar,33,2,1,3,0,2,63,1,2,0,1,0,0,0,0,0,0,0,0,16,121
Android,hcs-xph/RetrofitUtils,27,2,1,2,0,1,20,1,1,0,1,0,0,0,0,0,0,0,0,9,63
Android,YancyYe/GalleryPick,29,2,1,3,0,2,36,1,1,0,1,0,0,0,0,0,0,0,0,61,134
Android,THEONE10211024/CircleIndicator,4,2,1,2,0,1,14,1,1,0,1,0,0,0,0,0,0,0,0,12,37
Android,k0shk0sh/PermissionHelper,22,3,1,3,0,2,20,1,1,0,1,0,0,0,0,0,0,0,0,46,97
Android,simon-heinen/droidar,369,9,1,0,0,6,28,1,2,0,1,0,0,1,0,0,0,0,0,103,514
Android,codemybrainsout/ahoy-onboarding,15,3,1,3,0,2,30,1,1,0,1,0,0,0,0,0,0,0,0,28,82
Android,jiangzehui/polygonsview,4,4,0,2,0,1,22,1,1,0,1,0,0,0,0,0,0,0,0,20,54
Android,mwajeeh/AnimationsPlayground,8,0,0,2,0,1,17,0,1,0,1,0,0,0,0,0,0,0,0,13,41
Android,JeasonWong/BezierLoadingView,6,2,1,3,0,2,19,1,1,0,1,0,0,0,0,0,0,0,0,9,42
Android,Yalantis/Side-Menu.Android,9,3,1,3,0,2,15,1,1,0,1,0,0,0,0,0,0,0,0,71,104
Android,TrustWallet/trust-wallet-android-source,170,2,1,2,0,1,80,1,1,0,1,0,0,0,1,1,0,0,0,113,371
Android,pengjianbo/GalleryFinal,67,3,2,3,0,2,31,1,2,0,1,0,0,0,0,0,0,0,0,59,168
Android,perfwxc/CoolCar,48,2,6,3,0,2,61,1,1,0,1,0,0,0,0,0,0,0,3,173,298
Android,foxykeep/DataDroid,72,2,2,1,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,30,135
Android,arimorty/floatingsearchview,23,2,2,5,0,4,31,1,1,0,1,0,1,0,0,0,0,1,1,96,164
Android,lingochamp/FileDownloader,118,4,1,3,0,2,36,1,4,0,1,0,1,1,1,2,0,0,0,41,212
Android,Karumi/Dexter,43,2,1,3,0,2,11,1,1,0,1,0,1,0,1,1,0,0,0,6,70
Android,NationalSecurityAgency/ghidra,9257,11,4,72,0,0,74,14,4,0,1,0,65,1,0,0,0,0,0,2899,12401
Android,googlesamples/android-MultiWindowPlayground,14,2,2,4,0,2,18,2,3,0,2,1,0,0,0,0,0,14,0,16,76
Android,ened/Android-Tiling-ScrollView,8,4,0,0,2,2,15,0,1,0,1,0,1,0,0,0,0,0,0,278,307
Android,jeasonlzy/PullZoomView,15,2,1,3,0,2,26,1,1,0,1,0,0,0,0,0,0,0,0,14,63
Android,fishwjy/VideoCompressor,15,2,3,3,0,2,7,1,1,0,1,0,10,0,0,0,0,0,0,14,56
Android,felipecsl/GifImageView,12,3,1,3,0,2,9,1,2,0,1,0,1,1,1,1,0,0,0,8,42
Android,yydcdut/RxMarkdown,161,2,6,4,0,3,21,1,3,0,1,0,0,0,1,1,0,0,0,45,244
Android,iammert/dagger-android-injection,22,2,1,2,0,1,11,1,1,0,1,0,0,0,0,0,0,0,0,12,52
Android,paolorotolo/ExpandableHeightListView,7,6,2,4,0,2,19,2,1,0,1,0,0,0,0,0,0,0,0,27,68
Android,sym900728/LockPattern,13,2,1,3,0,2,15,1,1,0,1,0,0,0,0,0,0,0,0,10,46
Android,elvishew/xLog,69,3,1,3,0,2,9,1,2,0,1,0,0,1,1,1,0,0,0,13,103
Android,ijarobot/Android-Chat-Widget,11,2,2,0,0,2,26,0,1,0,1,0,2,0,0,0,0,0,0,80,124
Android,huangyanbin/SmartChart,122,2,1,3,0,2,55,1,2,0,1,0,0,0,0,0,0,0,0,50,236
Android,Rabtman/WsManager,9,3,1,4,0,2,16,1,1,0,1,0,0,0,0,0,0,0,0,24,59
Android,KeepSafe/ReLinker,24,3,1,3,0,2,8,1,2,0,1,0,0,0,1,1,0,0,0,23,66
Android,roboguice/roboguice,697,16,70,0,22,3,64,0,4,0,2,0,3,3,2,2,0,0,0,302,1161
Android,Rabtman/AcgClub,227,2,11,11,0,15,147,1,2,0,1,0,1,0,0,0,0,58,0,220,680
Android,XiqingLiu/JesStatistics,21,2,1,3,0,2,15,1,1,0,1,0,0,0,0,0,0,0,0,13,57
Android,Yelp/bento,20,2,14,4,0,4,37,2,5,0,1,1,0,1,1,1,0,40,0,25,152
Android,barryhappy/TEmptyView,10,2,1,3,0,2,33,1,2,0,1,0,0,0,0,0,0,0,0,11,63
Android,airbnb/AirMapView,52,3,1,3,0,2,16,1,4,0,1,0,0,1,1,1,0,0,1,22,105
Android,greatyao/v2ex-android,113,2,16,4,0,3,146,1,1,0,1,0,0,0,1,1,0,0,0,126,410
Android,twitter/Serial,49,4,1,4,0,1,9,2,1,0,0,0,0,0,1,1,0,0,0,14,85
Android,googleads/google-media-framework-android,22,2,2,3,0,2,14,1,3,0,1,0,2,0,1,1,0,0,0,53,103
Android,fabiendevos/nanotasks,7,2,1,3,0,2,16,1,1,0,1,0,0,0,0,0,0,0,0,10,41
Android,maoruibin/GankDaily,42,1,1,2,0,1,61,1,1,0,0,0,0,0,0,0,0,0,0,30,139
Android,googlesamples/android-Camera2Raw,4,1,1,2,0,2,15,1,3,0,1,2,0,0,0,0,0,0,0,12,41
Android,kongqw/OpenCVForAndroid,136,2,1,3,0,2,40,1,1,0,1,0,57,0,0,0,0,0,14,204,459
Android,Arjun-sna/android-permission-checker-app,43,2,1,2,0,1,18,1,1,0,1,0,0,0,0,0,0,0,0,76,144
Android,fluttercommunity/flutter_downloader,11,3,1,3,0,2,27,1,4,0,3,2,0,0,0,0,0,0,2,62,116
Android,nanchen2251/CoordinatorAppBarDemo,11,2,1,2,0,1,20,1,1,0,1,0,0,0,0,0,0,0,0,12,50
Android,ashqal/NightOwl,55,2,1,3,0,2,29,1,1,0,1,0,0,0,0,0,0,0,0,16,108
Android,MaksTuev/EasyAdapter,22,2,1,3,0,2,26,1,2,0,2,0,0,0,0,0,0,29,0,30,116
Android,markfguerra/GLWallpaperService,11,2,0,0,0,2,10,0,3,0,1,0,0,0,0,0,0,0,0,22,48
Android,MCMrARM/revolution-irc,228,2,1,3,0,1,210,1,1,0,1,0,0,0,0,1,0,0,0,44,491
Android,markushi/android-circlebutton,2,2,0,3,0,2,7,0,1,0,1,0,1,0,0,0,0,0,0,7,23
Android,Sloy/preferator,9,2,1,4,0,3,22,1,1,0,1,0,0,1,1,1,0,2,0,9,53
Android,haseman/Android-AR-Kit,9,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,15
Android,OCNYang/RecyclerViewEvent,11,2,1,2,0,1,25,1,1,0,1,0,0,0,0,0,0,0,0,12,55
Android,xinzhazha/RecyclerView,24,2,1,3,0,2,20,1,1,0,1,0,0,0,0,0,0,0,0,11,63
Android,f2prateek/device-frame-generator,58,1,1,1,0,1,23,1,1,0,1,0,2,2,1,1,0,0,0,284,375
Android,sealtalk/sealtalk-android,316,3,27,12,0,11,606,1,5,0,3,0,0,0,0,0,0,0,1,781,1752
Android,GoodieBag/CarouselPicker,7,2,1,3,0,2,13,1,1,0,1,0,1,0,0,0,0,0,0,25,54
Android,freeotp/freeotp-android,20,1,1,2,0,1,30,1,1,0,1,0,0,0,1,1,0,0,0,32,89
Android,ryanhoo/fir.flight,123,2,1,2,0,1,53,1,1,0,1,0,9,0,1,1,0,0,2,52,247
Android,xujiaji/HappyBubble,11,2,1,3,0,2,33,1,2,0,1,0,0,0,0,1,0,0,0,15,69
Android,saket/Better-Link-Movement-Method,5,2,1,3,0,2,10,1,2,0,1,0,0,0,0,0,0,0,0,9,33
Android,imshyam/mintube,22,3,1,2,0,1,55,1,1,0,1,0,0,0,0,0,0,0,0,28,113
Android,firefly1126/android_permission_aspectjx,15,2,1,3,0,2,17,1,1,0,1,0,1,0,0,0,0,3,0,12,56
Android,xmuSistone/stickyViewpager,14,1,2,0,0,1,26,0,1,0,1,0,2,0,0,0,0,0,0,25,71
Android,maddevsio/mad-location-manager,33,2,1,3,0,2,14,1,1,0,1,0,0,1,0,0,0,0,0,42,98
Android,arturogutierrez/Badges,11,3,1,3,0,2,7,1,1,0,1,0,1,0,0,0,0,0,0,9,37
Android,Jichensheng/Fish_2,5,2,1,2,0,1,7,1,1,0,1,0,0,0,0,0,0,0,0,8,27
Android,vickychijwani/quill,154,2,1,2,0,2,78,1,4,0,2,0,0,3,0,1,0,0,3,31,280
Android,SalomonBrys/ANR-WatchDog,4,1,1,3,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,6,20
Android,DavidPizarro/PickerUI,9,1,1,3,0,2,21,1,2,0,1,0,0,0,0,0,0,0,0,15,53
Android,mcharmas/shoppinglist-clean-architecture-example,62,2,1,7,0,4,13,1,1,0,1,0,0,0,0,0,0,0,0,13,100
Android,781015928/AopUtils,12,2,1,3,0,2,9,1,1,0,1,0,0,0,0,0,0,0,0,20,49
Android,mayubao/KuaiChuan,62,2,1,2,0,1,72,1,2,0,1,0,0,0,0,0,0,0,0,41,183
Android,anismiles/websocket-android-phonegap,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
Android,deano2390/FlowTextView,12,1,1,3,0,2,8,1,1,0,1,0,1,0,0,0,0,0,0,64,92
