1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
CyC2018/CS-Notes , 64050
iluwatar/java-design-patterns , 47974
Snailclimb/JavaGuide , 41667
elastic/elasticsearch , 41425
spring-projects/spring-boot , 38436
square/okhttp , 32586
square/retrofit , 32533
google/guava , 31939
spring-projects/spring-framework , 29491
PhilJay/MPAndroidChart , 27298
apache/dubbo , 26805
bumptech/glide , 26078
airbnb/lottie-android , 25596
JakeWharton/butterknife , 23925
Blankj/AndroidUtilCode , 23453
greenrobot/EventBus , 21031
crossoverJie/JCSprout , 20832
doocs/advanced-java , 20610
netty/netty , 19396
skylot/jadx , 18739
ReactiveX/RxAndroid , 18071
alibaba/fastjson , 17917
scwang90/SmartRefreshLayout , 17549
CymChad/BaseRecyclerViewAdapterHelper , 17270
alibaba/druid , 16990
square/picasso , 16769
nostra13/Android-Universal-Image-Loader , 16505
google/gson , 15701
facebook/fresco , 15640
ityouknow/spring-boot-examples , 15554
Konloch/bytecode-viewer , 10161
JakeWharton/ViewPagerIndicator , 10126
CarGuo/GSYVideoPlayer , 10092
alibaba/ARouter , 9850
Tencent/VasSonic , 9769
eclipse-vertx/vert.x , 9711
liaohuqiu/android-Ultra-Pull-To-Refresh , 9613
zhihu/Matisse , 9562
pockethub/PocketHub , 9425
ksoichiro/Android-ObservableScrollView , 9359
dianping/cat , 9351
redisson/redisson , 9269
arduino/Arduino , 9243
wasabeef/recyclerview-animators , 9207
oracle/graal , 9192
seata/seata , 9131
dbeaver/dbeaver , 9127
lipangit/JiaoZiVideoPlayer , 9123
navasmdc/MaterialDesignLibrary , 9037
permissions-dispatcher/PermissionsDispatcher , 8999
mockito/mockito , 8861
naver/pinpoint , 8735
Yalantis/uCrop , 8721
YoKeyword/Fragmentation , 8593
tbruyelle/RxPermissions , 8535
lingochamp/FileDownloader , 8473
didi/DoraemonKit , 8462
xuxueli/xxl-job , 8336
iBotPeaches/Apktool , 8202
google/guice , 8148
alibaba/vlayout , 9494
vondear/RxTool , 9221
jeasonlzy/okhttp-OkGo , 9208
prestodb/presto , 9115
apache/flink , 8850
apache/skywalking , 8702
81813780/AVLoadingIndicatorView , 8645
aosp-mirror/platform_frameworks_base , 8536
umano/AndroidSlidingUpPanel , 8496
perwendel/spark , 8320
roughike/BottomBar , 8249
apache/rocketmq , 7923
Freelander/Android_Data , 7908
bilibili/DanmakuFlameMaster , 7895
HannahMitt/HomeMirror , 7878
google/auto , 7829
clojure/clojure , 7785
